Req Number,Department,Date,Item #,Item Quantity
865,7500,738288,70300,2
866,7500,738288,70200,1
867,7500,738288,10100,3
868,3000,738288,10400,2
869,3000,738288,10600,2
870,3000,738288,70400,2
871,3000,738288,70500,4
872,3000,738288,81400,4
873,3000,738288,80200,3
874,3000,738288,10000,1
875,3000,738288,20000,1
876,3000,738288,60100,3
877,3000,738288,60500,3
878,3000,738288,61300,2
879,3000,738288,61800,1
880,3000,738288,101800,2
881,3000,738288,20000,20
882,3000,738288,35500,6
883,3000,738288,35600,12
884,3000,738288,60000,12
885,3000,738288,60100,6
886,3000,738288,60400,12
887,3000,738288,60800,12
888,3000,738288,61200,4
889,3000,738288,61000,2
890,3000,738288,61400,24
891,3000,738288,61900,4
892,3000,738288,80400,3
893,3000,738288,80300,1
894,3000,738288,80500,5
895,3000,738288,62000,3
896,6632,738288,20300,24
897,6632,738288,20400,48
898,6632,738288,20500,3
899,6632,738288,30000,10
900,6632,738288,60500,3
901,6632,738288,61200,2
902,6632,738288,90500,4
903,5000,738288,20400,2
904,3000,738288,10000,1
905,3000,738288,10100,1
906,3000,738288,20000,2
907,3000,738288,35500,1
908,3000,738288,35600,1
909,4005,738292,20000,1
910,4005,738292,10000,1
911,3000,738292,60900,4
912,4005,738292,80000,1
913,3000,738292,20000,2
914,4005,738292,80000,2
915,4005,738292,62000,1
916,4005,738292,90500,1
917,4005,738292,30000,4
918,6900,738292,91100,24
919,6900,738292,75000,6
920,3000,738292,62000,3
921,3000,738292,30100,1
922,3000,738292,45000,2
923,3000,738292,80100,2
924,4113,738292,10000,1
925,3000,738292,20000,1
926,5612,738292,35800,1
927,5612,738292,35500,1
928,4005,738292,30000,44
929,4005,738292,60100,6
930,4135,738292,80000,3
931,4135,738292,60500,1
932,4135,738292,60100,1
933,4135,738292,80000,4
934,4135,738292,80100,4
935,3000,738292,35500,2
936,3000,738292,35600,2
937,4005,738292,80000,4
938,4005,738292,10200,2
939,4005,738292,75000,1
940,4005,738292,62000,1
941,4005,738292,80000,4
942,3500,738292,80000,4
943,4005,738292,10200,8
944,4113,738292,20000,1
945,4005,738292,30100,1
946,5000,738292,61200,1
947,5000,738292,61300,2
948,5000,738292,60700,1
949,5000,738292,61600,1
950,5000,738292,61700,1
951,5000,738292,60900,1
952,5000,738292,60200,1
953,5000,738292,60800,1
954,4135,738292,10200,1
955,4005,738292,30000,4
956,4005,738292,20200,2
957,4005,738292,70400,1
958,4005,738292,80000,2
959,6900,738294,70600,30
960,4005,738294,61300,2
961,4005,738294,60700,2
962,4005,738294,20000,1
963,3000,738294,61300,1
964,4113,738294,100000,3
965,2256,738294,70400,8
966,4005,738294,60000,3
967,4005,738294,41600,2
968,4005,738294,81400,2
969,4005,738294,10200,3
970,4005,738294,10100,1
971,5000,738294,20200,4
972,5000,738294,20000,4
973,5000,738294,102000,24
974,5000,738294,101900,2
975,3000,738294,100000,4
976,3000,738294,100200,1
977,4005,738294,100100,1
978,3000,738294,102800,2
979,3000,738294,10000,1
980,3000,738294,10100,1
981,3000,738294,20000,2
982,3000,738294,35500,1
983,3000,738294,35600,1
984,5000,738294,100000,1
985,5000,738294,10700,2
986,5000,738294,61300,5
987,5000,738294,90200,10
988,5000,738294,91100,12
989,5000,738294,101900,12
990,5000,738294,102000,12
991,5000,738294,35300,1
992,5000,738294,80000,10
993,5000,738294,80100,10
994,5000,738294,60200,2
995,5000,738294,10400,1
996,5000,738294,60800,2
997,3000,738294,10400,2
998,3000,738294,10600,2
999,3000,738294,100000,4
1000,3000,738294,70400,2
1001,3000,738294,70500,4
1002,3000,738294,41600,4
1003,3000,738294,80200,3
1004,6782,738294,60800,3
1005,6782,738294,61300,6
1006,6782,738294,30000,16
1007,6782,738294,51400,48
1008,6782,738294,51500,24
1009,4005,738294,10200,1
1010,7200,738294,10200,3
1011,7200,738294,20000,3
1012,7200,738294,35000,6
1013,7200,738294,61000,6
1014,7200,738294,70300,20
1015,7200,738294,81600,2
1016,7200,738294,81800,4
1017,7200,738294,90600,12
1018,7200,738294,91100,12
1019,7200,738294,61300,1
1020,7200,738294,60700,1
1021,3000,738294,35000,6
1022,3000,738294,10100,100
1023,3000,738294,80900,1
1024,4001,738294,10100,3
1025,4001,738294,10200,3
1026,4001,738294,70100,20
1027,4001,738294,70200,20
1028,4001,738294,70300,20
1029,4005,738294,20200,24
1030,4005,738294,30000,48
1031,4005,738294,80000,36
1032,4005,738294,80100,36
1033,4005,738294,20500,1
1034,4005,738294,91100,33
1035,4005,738294,61300,6
1036,4005,738294,20200,27
1037,4005,738294,30000,60
1038,4005,738294,10200,1
1039,4005,738294,80000,24
1040,4005,738294,80100,31
1041,4005,738294,20500,3
1042,4005,738294,91100,14
1043,4005,738294,35700,1
1044,4005,738294,35500,5
1045,4005,738294,35600,6
1046,4005,738294,45000,1
1047,4005,738294,90500,1
1048,4005,738294,90700,3
1049,4005,738294,61300,9
1050,4005,738294,70200,2
1051,4005,738294,60800,2
1052,4005,738294,61900,2
1053,4005,738294,10200,25
1054,4005,738294,61900,6
1055,4005,738294,60800,10
1056,4005,738294,61000,4
1057,4005,738295,61300,2
1058,4005,738295,10200,1
1059,4005,738295,80000,4
1060,4005,738295,80100,4
1061,3000,738295,35000,2
1062,2000,738295,80000,2
1063,2000,738295,80100,2
1064,2000,738295,80900,1
1065,2000,738295,20000,1
1066,2000,738295,80000,2
